24.6.2016 Tommi Soidinmäki & Energia – Savion lava, Laukaa
25.6.2016 Tommi Soidinmäki & Energia – Huvilintu, Raisio
28.6.2016 Energia – Lounaispuisto, Jyväskylä
1.7.2016 T. Soidinmäki, A. Vehviläinen, R. Salo & Energia – Konsertti, Paltamo
8.7.2016 Tommi Soidinmäki & Energia – Ravintola Mendin, Ilomantsi
12.7.2016 Energia – Lounaispuisto, Jyväskylä
16.7.2016 Tommi Soidinmäki & Energia – Letkaliiteri, Leivonmäki
17.7.2016 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
18.7.2016 Tommi Soidinmäki & Energia – Baltic Queen, Helsinki
21.7.2016 A. Koriseva, T. Soidinmäki, M. Konttinen & Energia – Kirmot, Saarijärvi
23.7.2016 Tommi Soidinmäki & Energia – Kaarihovi, Teuva
26.7.2016 Energia – Lounaispuisto, Jyväskylä
28.7.2016 Tommi Soidinmäki & Energia – Linnanmäki, Helsinki
6.8.2016 Tommi Soidinmäki & Energia – Valasranta, Yläne
9.8.2016 Energia – Lounaispuisto, Jyväskylä
12.8.2016 Tommi Soidinmäki & Energia – Pavi, Vantaa
13.8.2016 Energia – Yksityistilaisuus, Jyväskylä
14.8.2016 Sanna-Mari Titov & Energia – Lemmenlava, Joensuu
16.8.2016 Energia – Lounaispuisto, Jyväskylä
19.8.2016 Energia – Yksityistilaisuus, Huittinen
27.8.2016 Tommi Soidinmäki & Energia – Rönnin lava, Orivesi
2.9.2016 T. Soidinmäki, M. Taavitsainen & Energia – Pielaveden liikuntahalli, Pielavesi
9.9.2016 Tommi Soidinmäki & Energia – Hotelli Rauhalahti, Kuopio
10.9.2016 Tommi Soidinmäki & Energia – Kukonhiekka, Saarijärvi
15.9.2016 Tommi Soidinmäki & Energia – Riemuliiteri, Kolari
16.9.2016 Tommi Soidinmäki & Energia – Hotelli Luostotunturi, Sodankylä
17.9.2016 Tommi Soidinmäki & Energia – Valdemari, Rovaniemi
18.9.2016 Tommi Soidinmäki & Energia – Hotelli Levitunturi, Kittilä
20.9.2016 Tommi Soidinmäki & Energia – Äkäshotelli, Kolari
24.9.2016 Nina Åkerman & Energia – Karjalan kievari, Kesälahti
30.9.2016 Tommi Soidinmäki & Energia – Rokuan hovi, Rokua
1.10.2016 Tommi Soidinmäki & Energia – Äkäshotelli, Kolari
8.10.2016 Energia – Punainen Kukko, Pori
11.10.2016 Nina Åkerman & Energia – Hiitteenharju, Harjavalta
22.10.2016 Tommi Soidinmäki & Energia – Yritystilaisuus, Tahko
28.10.2016 Nina Åkerman & Energia – Rokuanhovi, Rokua
29.10.2016 Tommi Soidinmäki & Energia – Hotelli Keurusselkä, Keuruu
5.11.2016 Tommi Soidinmäki & Energia – Naantalin kylpylä, Naantali
12.11.2016 Tommi Soidinmäki & Energia – Hotelli Iso-Valkeinen, Kuopio
18.11.2016 Pete Parkkonen, Meiju Suvas & Energia – Yritystilaisuus, Riihimäki
19.11.2016 Tommi Soidinmäki & Energia – Urjanlinna, Sievi
25.11.2016 Tommi Soidinmäki & Energia – Kylpylähotelli Peurunka, Laukaa
26.11.2016 Tommi Soidinmäki & Energia – Auran Nuortentalo, Aura
29.11.2016 Tommi Soidinmäki & Energia – Baltic Princess, Turku
30.11.2016 Tommi Soidinmäki & Energia – Baltic Princess, Turku
2.12.2016 Isto Hiltunen & Energia – Hotelli Keurusselkä, Keuruu
3.12.2016 Isto Hiltunen & Energia – Nightclub Tähti, Oulu
10.12.2016 Tommi Soidinmäki & Energia – Kylpylähotelli Summassaari, Saarijärvi
14.12.2016 Tommi Soidinmäki & Energia – Viking Amorella, Turku-Tukholma
17.12.2016 Tommi Soidinmäki & Energia – Härmän kuntokeskus, Kauhava
